Time,Incumbent,BestBound
37.423665046691895,1076.5,933.3792358803981
37.424506187438965,1076.4,933.3792358803981
40.973159074783325,1065.2,933.3792358803981
41.6711151599884,1061.7999999999986,933.3792358803981
41.671359062194824,1061.7999999999986,933.6420928588257
41.67349600791931,1047.6,933.6420928588257
42.43066716194153,1047.6,935.1499999999997
43.13385319709778,1039.2,935.1499999999997
45.708850145339966,1036.2,935.1499999999997
48.36790609359741,1036.1,935.1499999999997
53.44360303878784,1036.1,935.1499999999997
57.189653158187866,1024.2,935.1499999999997
62.93065309524536,1024.2,935.1499999999997
66.91252517700195,1017.3,935.1499999999997
68.42488312721252,1014.4,935.1499999999997
72.54850506782532,1014.3999998984599,935.1499999999997
79.0243010520935,1014.3999998984599,935.1499999999997
85.55622816085815,1014.3999998984599,935.1499999999997
92.56283712387085,1014.3999998984599,935.1499999999997
94.87256407737732,1014.3,935.1499999999997
99.06059002876282,1009.4,935.1499999999997
104.39257621765137,1009.4,935.1499999999997
107.50986909866333,1008.3,935.1499999999997
107.51463007926941,1006.5,935.1499999999997
112.58228516578674,1006.5,935.1499999999997
117.28410601615906,1005.2,935.1499999999997
122.94753313064575,1005.2,935.1499999999997
122.951425075531,1005.1999998993799,935.1499999999997
130.4793951511383,1005.1999998993799,935.1499999999997
136.73204517364502,1005.1999998993799,935.1499999999997
141.79212617874146,1005.1999998993799,935.1499999999997
146.8962950706482,1005.1999998993799,935.1499999999997
149.14605903625488,1005.1999998993799,937.1999999999998
154.98689913749695,1005.1999998993799,937.1999999999998
161.20603704452515,1005.1999998993799,937.1999999999998
166.9302351474762,1005.1999998993799,937.1999999999998
173.289813041687,1005.1999998993799,937.1999999999998
179.3665750026703,1005.1999998993799,937.1999999999998
184.44042205810547,1005.1999998993799,937.1999999999998
189.44357109069824,1005.1999998993799,937.1999999999998
195.12473511695862,1005.1999998993799,937.1999999999998
200.57837200164795,1005.1999998993799,937.1999999999998
206.37922406196594,1005.1999998993799,937.1999999999998
212.34382700920105,1005.1999998993799,937.1999999999998
217.69490599632263,1005.1999998993799,937.1999999999998
223.59802722930908,1005.1999998993799,937.1999999999998
228.73757910728455,1005.1999998993799,937.1999999999998
233.98618817329407,1005.1999998993799,937.1999999999998
239.1349720954895,1005.1999998993799,937.1999999999998
244.7567720413208,1005.1999998993799,937.1999999999998
250.22526216506958,1005.1999998993799,937.1999999999998
255.40122604370117,1005.1999998993799,937.1999999999998
260.98439717292786,1005.1999998993799,937.1999999999998
266.2186961174011,1005.1999998993799,937.1999999999998
271.243723154068,1005.1999998993799,937.1999999999998
271.87238121032715,1005.1999998993799,937.2
276.8765811920166,1005.1999998993799,937.2
282.88686418533325,1005.1999998993799,937.2
288.42179012298584,1005.1999998993799,937.2
293.86367416381836,1005.1999998993799,937.2
299.65571117401123,1005.1999998993799,937.2
306.2728970050812,1005.1999998993799,937.2
313.3910131454468,1005.1999998993799,937.2
318.58615612983704,1005.1999998993799,937.2
325.20071816444397,1005.1999998993799,937.2
330.5199201107025,1005.1999998993799,937.2
335.7222390174866,1005.1999998993799,937.2
341.01699113845825,1005.1999998993799,937.2
346.85076808929443,1005.1999998993799,937.2
353.23649311065674,1005.1999998993799,937.2
400.34287309646606,1005.1999998993799,937.2
405.71360206604004,1005.1999998993799,937.2
410.7483780384064,1005.1999998993799,937.2
416.1775691509247,1005.1999998993799,937.2
421.26491713523865,1005.1999998993799,937.2
426.57916617393494,1005.1999998993799,937.2
432.1244912147522,1005.1999998993799,937.2
438.1831362247467,1005.1999998993799,937.2
443.46401619911194,1005.1999998993799,937.2
448.76113200187683,1005.1999998993799,937.2
454.17494010925293,1005.1999998993799,937.2
460.7267200946808,1005.1999998993799,937.2
466.92827320098877,1005.1999998993799,937.2
472.95077419281006,1005.1999998993799,937.2
478.7168622016907,1005.1999998993799,937.2
484.4060890674591,1005.1999998993799,937.2
490.1098790168762,1005.1999998993799,937.2
495.8900411128998,1005.1999998993799,937.2
501.9996590614319,1005.1999998993799,937.2
508.0569591522217,1005.1999998993799,937.2
513.7053201198578,1005.1999998993799,937.2
520.2420721054077,1005.1999998993799,937.2
525.771035194397,1005.1999998993799,937.2
530.9784171581268,1005.1999998993799,937.2
536.4510741233826,1005.1999998993799,937.2
542.9307022094727,1005.1999998993799,937.2
548.7912490367889,1005.1999998993799,937.2
555.4361431598663,1005.1999998993799,937.2
562.3100302219391,1005.1999998993799,937.2
568.9166131019592,1005.1999998993799,937.2
575.4537510871887,1005.1999998993799,937.2
581.1068501472473,1005.1999998993799,937.2
587.5323622226715,1005.1999998993799,937.2
592.7522611618042,1005.1999998993799,937.2
599.2720901966095,1005.1999998993799,937.2
